Metric,M07,M10,Difference
QWK,0.7619049796957531,0.7523200474059573,-0.009584932289795844
Macro-F1,0.5518902573505498,0.5421773470496181,-0.009712910300931688
Balanced accuracy,0.5506652595025474,0.5463900114246681,-0.004275248077879268
Mild precision,0.15948275862068967,0.18435754189944134,0.024874783278751672
Mild recall,0.10054347826086957,0.08967391304347826,-0.010869565217391311
Mild F1,0.12333333333333334,0.1206581352833638,-0.002675198049969532
Moderate F1,0.5756026296566837,0.5895627644569816,0.013960134800297896
Severe F1,0.4897959183673469,0.45714285714285713,-0.0326530612244898
Mild -> No DR,306.0,306.0,0.0
Mild -> Moderate,25.0,28.0,3.0
MAE,0.27058823529411763,0.2747628083491461,0.0041745730550284965
Large-grade error rate,0.06963946869070209,0.07286527514231499,0.0032258064516128976
