image,num_candidate_boxes,guidance_coverage
19_left,12,0.015844227746129036
19_right,12,0.027981504797935486
20_left,12,0.02834024280309677
20_right,12,0.036073021590709686
22_left,12,0.025569994002580643
22_right,12,0.05801578611135483
62_left,12,0.047114159911870956
62_right,12,0.026486767455935478
66_left,12,0.027543049305677414
66_right,12,0.019431600347161293
84_left,12,0.017219386994838715
84_right,12,0.015684789046645164
145_left,12,0.036332111805677414
145_right,12,0.020029496401548386
190_left,12,0.018474968150258064
190_right,12,0.04047751799225807
194_left,12,0.030731823295354843
194_right,12,0.030094068497419357
204_left,12,0.020846620202064514
204_right,12,0.014768016524612904
214_left,12,0.00771285081282258
214_right,12,0.009466676972806454
225_left,12,0.02901785634458065
225_right,12,0.048050861805677414
239_left,12,0.0334821417927742
239_right,12,0.04448341950774193
259_left,12,0.03196747601032257
259_right,12,0.03609295189380646
274_left,12,0.020308513194322586
274_right,12,0.016422193497419357
288_left,12,0.01759805530309677
288_right,12,0.038703761994838715
294_left,12,0.03768733888864517
294_right,12,0.04007892310619354
307_left,12,0.029257014393806458
307_right,12,0.03922193869948387
317_left,12,0.03517618030309677
317_right,12,0.033820949494838715
323_left,12,0.016402263194322586
323_right,12,0.019730549305677414
326_left,12,0.023955676704645157
326_right,12,0.02541055530309677
328_left,12,0.01486766617745161
328_right,12,0.022580517455935478
333_left,12,0.013911033049225807
333_right,12,0.03260523080825806
356_left,12,0.01953125
356_right,12,0.016103316098451614
398_left,12,0.026466837152838707
398_right,12,0.011200574226677418
405_left,12,0.019710619002580643
405_right,12,0.04536033049225807
408_left,12,0.027662627398967743
408_right,12,0.01897321455180645
439_left,12,0.01813616044819355
439_right,12,0.03392060101032257
444_left,12,0.012874681502580643
444_right,12,0.03232621029019356
445_left,12,0.045420121401548386
445_right,12,0.01207748707383871
448_left,12,0.02104591764509678
448_right,12,0.017657844349741936
483_left,12,0.0255301333963871
483_right,12,0.03609295189380646
531_left,12,0.03043287619948387
531_right,12,0.01955118030309677
557_left,12,0.019730549305677414
557_right,12,0.016561701893806458
563_left,12,0.031449299305677414
563_right,12,0.018076371401548386
596_left,12,0.02750318869948387
596_right,12,0.02568957209587097
604_left,12,0.017617985606193542
604_right,12,0.015445630997419357
615_left,12,0.011140784248709679
615_right,12,0.0372488833963871
642_left,12,0.027024872601032257
642_right,12,0.021603954955935478
645_left,12,0.025849010795354843
645_right,12,0.017059948295354843
660_left,12,0.01801658235490322
660_right,12,0.029536033049225807
670_left,12,0.012515943497419357
670_right,12,0.026167888194322586
673_left,12,0.0341796875
673_right,12,0.029097575694322586
686_left,12,0.004942602012306452
686_right,12,0.02875876985490322
703_left,12,0.015146683901548386
703_right,12,0.014628507196903229
723_left,12,0.03011399880051613
723_right,12,0.023915816098451614
731_left,12,0.013073979876935482
731_right,12,0.034658003598451614
732_left,12,0.021663744002580643
732_right,12,0.04203204810619354
766_left,12,0.007234534248709679
766_right,12,0.014827806502580643
773_left,12,0.04278938099741936
773_right,12,0.032286353409290314
800_left,12,0.028519611805677414
800_right,12,0.0470145083963871
803_left,12,0.03067203424870968
803_right,12,0.014469068497419357
812_left,12,0.03497688099741936
812_right,12,0.045679207891225815
820_left,12,0.015983738005161285
820_right,12,0.02861925959587097
842_left,12,0.011778539977967739
842_right,12,0.008191167376935482
844_left,12,0.016840720549225807
844_right,12,0.021165497601032257
862_left,12,0.012874681502580643
862_right,12,0.012794962152838707
878_left,12,0.04215162619948387
878_right,12,0.010602678172290325
886_left,12,0.03708944469690323
886_right,12,0.026128029450774193
909_left,12,0.021384725347161293
909_right,12,0.05317283049225807
921_left,12,0.0263671875
921_right,12,0.029237085953354836
931_left,12,0.020846620202064514
931_right,12,0.02499202825129032
943_left,12,0.024593431502580643
943_right,12,0.025071747601032257
968_left,12,0.028439892455935478
968_right,12,0.009068080224096775
977_left,12,0.04587850719690323
977_right,12,0.017498405650258064
986_left,12,0.019411670044064522
986_right,12,0.01741868630051613
1012_left,12,0.02457350119948387
1012_right,12,0.01759805530309677
1021_left,12,0.00956632662564516
1021_right,12,0.02596859075129032
1035_left,12,0.018036510795354843
1035_right,12,0.03176817670464516
1044_left,12,0.04392538219690323
1044_right,12,0.013811384327709675
1055_left,12,0.018933353945612907
1055_right,12,0.029815051704645157
1057_left,12,0.02578922174870968
1057_right,12,0.02620774880051613
1070_left,12,0.011798469349741936
1070_right,12,0.03866390138864517
1098_left,12,0.030512595549225807
1098_right,12,0.040656886994838715
1140_left,12,0.02108577825129032
1140_right,12,0.01927216164767742
1145_left,12,0.03694993630051613
1145_right,12,0.038723692297935486
1177_left,12,0.012216996401548386
1177_right,12,0.015246332623064518
1179_left,12,0.021982621401548386
1179_right,12,0.0336216501891613
1212_left,12,0.02620774880051613
1212_right,12,0.01526626292616129
1226_left,12,0.011320153251290321
1226_right,12,0.010363520123064518
1242_left,12,0.02499202825129032
1242_right,12,0.04055723920464516
1269_left,12,0.029635682702064514
1269_right,12,0.028140943497419357
1318_left,12,0.027662627398967743
1318_right,12,0.01857461780309677
1350_left,12,0.026327326893806458
1350_right,12,0.012097417376935482
1363_left,12,0.0185546875
1363_right,12,0.01797672174870968
1388_left,12,0.047632332891225815
1388_right,12,0.03192761540412903
1393_left,12,0.016721142455935478
1393_right,12,0.015744579955935478
1432_left,12,0.030054209753870964
1432_right,12,0.036910075694322586
1444_left,12,0.03232621029019356
1444_right,12,0.021603954955935478
1454_left,12,0.017239317297935486
1454_right,12,0.029336735606193542
1487_left,12,0.03360172361135483
1487_right,12,0.017677774652838707
1495_left,12,0.028778698295354843
1495_right,12,0.027702488005161285
1496_left,12,0.024892378598451614
1496_right,12,0.00900829117745161
1499_left,7,0.00817123707383871
1499_right,12,0.009327168576419353
1500_left,12,0.015585140325129032
1500_right,12,0.0386439748108387
1513_left,12,0.04322783648967743
1513_right,12,0.023676658049225807
1516_left,12,0.01422991044819355
1516_right,12,0.013532365672290325
1550_left,12,0.018654337152838707
1550_right,12,0.0301339291036129
1579_left,12,0.026705995202064514
1579_right,12,0.011758609674870968
1586_left,12,0.029635682702064514
1586_right,12,0.03402024880051613
1609_left,12,0.026586415246129036
1609_right,12,0.01130022294819355
1614_left,12,0.01785714365541935
1614_right,12,0.017777424305677414
1634_left,12,0.026327326893806458
1634_right,12,0.027124522253870964
1669_left,12,0.03433912619948387
1669_right,12,0.01925223134458065
1673_left,12,0.027841996401548386
1673_right,12,0.015027104876935482
1689_left,12,0.0193917416036129
1689_right,12,0.013153699226677418
1736_left,12,0.019471460953354836
1736_right,12,0.013671875
1751_left,12,0.021982621401548386
1751_right,12,0.02690529264509678
1765_left,12,0.031748246401548386
1765_right,12,0.018913425505161285
1839_left,12,0.045121174305677414
